Code,City,Name,Address,Phone
1,Jakarta,KCU ASEMKA ,Jalan Asemka 27-30 Jakarta Barat 11110 ,021-6901771 
2,Jakarta,KCU PASAR BARU ,Jalan KH Samanhudi 8 Jakarta Pusat 10710 ,021-2310411 
3,Jakarta,KCU GUNSA 45 ,Jalan Gunung Sahari 45 Jakarta Pusat 10720 ,"021-6012123 , 6012129-30"
5,Jakarta,KCU WISMA MILLENIA ,Jalan M.T. Haryono Kav. 16 Jakarta Selatan 12810 ,021-83709650
6,Jakarta,KCU WISMA GKBI ,"Jalan Jend. Sudirman 28, Suite G 01 Jakarta SelatanÂ  10210 ",021-5722810 
7,Jakarta,KCU TANJUNG PRIOK ,Jalan Enggano 22-23 Jakarta Utara 14310 ,021-4301312 
8,Bandung,KCU Bandung ,"Jalan Asia  Afrika 122-124 Bandung 40261 Jawa Barat, ",022-4236303 
12,Jakarta,KCU GAJAH MADA ,Jalan Gajah Mada 112 B-C-D Jakarta Barat 11120 ,021-6302111 
28,Jakarta,KCU WAHID HASYIM ,Jalan KH. Wahid Hasyim No. 183 A-B Jakarta Pusat 10340 ,"021-3150556, 324456 "
35,Jakarta,KCU SUDIRMAN ,"Gedung Chase Plaza, Jalan Jend. Sudirman Kav. 21 Jakarta Selatan 12920 ",021-25989898
63,Bandung,KCP Suniaraja ,"Jln Suniaraja Timur 49 Bandung 40181 Jawa Barat, ",022-4237294
65,Jakarta,KCU KELAPA GADING ,Jalan Kelapa Gading Boulevard Raya Blok L No.1 Jakarta Utara 14240 ,"021-45850123 , 45850101 "
68,Jakarta,KCP Pasar Kenari ,"Jalan Kenari II/8 Jakarta Pusat 10430, ","021-3900543-44, 3900763 "
69,Jakarta,KCU MUARA KARANG ,Jalan Muara Karang Timur Blok B VIII No.116-117 Jakarta Utara 14450 ,"021-6603032 , 6679790 "
70,Jakarta,KCP Melawai ,"Jalan Melawai Raya 165 Blok C 1-3 Jakarta 12160, ","021-7203033, 7254201 "
71,Jakarta,KCP Fatmawati ,"Jalan RS Fatmawati 1 Jakarta Selatan 12430, ","021-7500199, 7503675 "
73,Jakarta,KCP Tomang Tol ,"Jalan Arjuna Kav. 8 A/1 Jakarta Barat 11430, ","021-5666694, 5685976-77"
74,Jakarta,KCP Jembatan Dua ,"Jalan Jembatan Dua 82 BB-BC Jakarta Utara 14450, ",021-6604438-40 
75,Jakarta,KCP Sabang ,"Jalan H. Agus Salim 57 B Jakarta Pusat 10340, ",021-31922488 
76,Jakarta,KCP Tanjung Duren ,"Jalan Tanjung Duren 3 Jakarta Barat 11470, ","021-5668683-87, 5668690-92"
82,Jakarta,KCP Glodok Plaza ,"Pertokoan Glodok Plaza Blok E/7-8, Jalan Pinangsia Raya 1Jakarta 11110, ","021- 2601123-26, 2601139-41"
83,Jakarta,KCP Jayakarta ,"Jalan P. Jayakarta 26 Blok A/2-3 Jakarta 10730, ",021-6499960 
84,Jakarta,KCU WISMA ASIA ,"Wisma Asia, Jalan S. Parman Kav. 79 Jakarta Barat 11420 ",021-5638888 
85,Bandung,KCP Sudirman ,"Jalan Jendral Sudirman 239-241 Bandung 40231 Jawa Barat, ",022-636381
86,Bandung,KCP Riau ,"Jalan Laks.R.E. Martadinata 92 Bandung 40114 Jawa Barat, ","022-4206939, 4200816"
91,Jakarta,KCP Senen ,"Pusat Grosir Senen Jaya Blok A8-9 Lantai 2 Jakarta Pusat 10410, ",021-29939501
93,Jakarta,KCP Sunter ,"Jalan Agung Utara Raya Blok A 360 D No.50-51, Sunter Agung Jakarta Utara 14350, ","021-64716327, 6518755 "
94,Jakarta,KCU RAWAMANGUN ,Jalan Paus 81 Jakarta Timur 13220 ,"021-4750073, 4750075, 4894602"
105,Jakarta,KCP Jembatan Lima ,"Jalan KH. Moch. Mansyur 15 F Jakarta Pusat 10140, ",021-6323430 
106,Jakarta,KCP Pintu air ,"Jalan Pintu Air 36 Q Jakarta Pusat 10710, ",021-3456366 
111,Jakarta,KCP Penjernihan ,"Jalan Penjernihan I No.23 Jakarta Pusat 10210, ",021-5719050 
127,Jakarta,KCP Kepa Duri ,"Jalan Mangga Raya 20 Jakarta Barat 11510, ",021-5663978 
128,Jakarta,KCP Pasar Minggu ,"Jalan Raya Pasar Minggu 6 Jakarta Selatan 12740, ",021-7974306 
139,Bandung,KCP Cimahi ,"Jalan Cimahi 533 Bandung 40523 Jawa Barat, ",022-6656186
145,Jakarta,KCP Gatot Subroto ,"Graha BIP Lt.Dasar, Jalan Gatot Subroto Kav.23 Jakarta Selatan 12930, ",021-2500171 
157,Bandung,KCP Sumbersari ,"Jalan Sumbersari T 12 No.23 Bandung 40222 Jawa Barat, ","022-6073136-8, 6030568, 619935"
160,Jakarta,KCP Mangga Dua ,"Pst.Perd.Grosir Psr Pagi Lt.2 Bl.KA No.001A-B,002&012,Jl.Arteri M.D. Jakarta Utara 14430, ",021-6599380
161,Jakarta,KCP Mangga Besar ,"Jalan Raya Mangga Besar 15 Jakarta Barat 11180, ","021-6008302-05, 6297582"
162,Jakarta,KCP Taman Ratu ,"Komp.Taman Ratu Blok B 5/8 Jakarta Barat 11510, ","021-5651070, 5657375"
164,Jakarta,KCP Kalimalang ,"Jalan Inspeksi Kav. PTB Blok A 2 No. 2 C-D Jakarta Timur 13450, ","021-8642050 , 8642052, 8642048"
165,Jakarta,KCP Kramat Jati ,"Jalan Raya Bogor RT. 001 RW. 04 No. 19 Jakarta Timur 13510, ","021-8094485, 8093326, 8011576Â "
168,Jakarta,KCU PLUIT ,Jalan Pluit Selatan 200 Jakarta Utara 14440 ,021-6601718 
176,Bandung,KCP Kopo ,"Jalan Kopo 26 A-B Bandung 40242 Jawa Barat, ",022-6033127 
178,Jakarta,KCP Permata Hijau ,"Pertokoan Permata Hijau Blok D No. C27-28 dan B22 Jakarta Selatan 12210, ","021-5308692, 5308694 "
179,Jakarta,KCP KHM Mansyur ,"Jalan KHM Mansyur 246 A & B Jakarta Barat 11250, ",021-6254641 
194,Jakarta,KCU PANGERAN JAYAKARTA ,Jalan Pangeran Jayakarta No.127 Jakarta Pusat 10730 ,"021-2601151, 2601152"
198,Jakarta,KCU DAAN MOGOT ,Jalan Daan Mogot No. 95 Jakarta Barat 11460 ,021-5663824-28
206,Jakarta,KCU THAMRIN ,"Menara BCA, Grand Indonesia, Jalan MH Thamrin No. 1 Jakarta Pusat 10310 ",021-23588000 
211,Jakarta,KCP Ancol ,"Jalan Parang Tritis Blok A VI No.3B-3C Jakarta Utara, ","021-6902191, 6909190"
